episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
1,limited,17,-58.489999999999995,57,3,88,2368,0.51,0
2,limited,17,-80.47999999999995,57,3,100,1784,0.32,0
3,limited,17,-39.720000000000034,57,4,86,1568,0.55,0
4,limited,17,-52.15000000000002,57,4,94,1536,0.43,0
5,limited,17,-54.59999999999998,57,4,89,1560,0.45,0
6,limited,17,-71.41,57,4,84,1872,0.41,0
7,limited,17,-49.36000000000003,57,3,81,1904,0.57,0
8,limited,17,-36.63000000000002,57,5,93,2144,0.47,0
9,limited,17,-49.970000000000006,57,2,102,1904,0.49,0
10,limited,17,-51.68,57,4,87,1696,0.48,0
11,limited,17,-59.959999999999994,57,4,81,2048,0.48,0
12,limited,17,-8.919999999999973,57,6,88,1760,0.58,0
13,limited,17,-48.370000000000026,57,4,88,1664,0.5,0
14,limited,17,-44.23999999999999,57,4,77,1728,0.56,0
15,limited,17,-118.81999999999982,57,1,94,1816,0.29,0
16,limited,17,-36.00000000000002,57,4,84,2024,0.56,0
17,limited,17,-77.32,57,3,89,1496,0.4,0
18,limited,17,-45.81,57,3,91,1768,0.51,0
19,limited,17,-91.06999999999991,57,2,86,1600,0.4,0
20,limited,17,-38.740000000000016,57,4,99,1680,0.46,0
21,limited,17,-63.65999999999994,57,4,85,1168,0.45,0
22,limited,17,-41.34,57,4,87,1576,0.52,0
23,limited,17,-107.51999999999985,57,1,98,1328,0.3,0
24,limited,17,-60.900000000000006,57,5,92,2048,0.37,0
25,limited,17,-53.78000000000001,57,4,99,2024,0.41,0
26,limited,17,-86.22999999999995,57,2,99,1160,0.34,0
27,limited,17,-88.28999999999996,57,3,93,1424,0.32,0
28,limited,17,-96.1099999999999,57,3,84,1640,0.35,0
29,limited,17,-74.70999999999997,57,2,86,1336,0.48,0
30,limited,17,-79.17999999999998,57,2,85,1464,0.46,0
31,limited,17,-52.36,57,3,94,1552,0.46,0
32,limited,17,-27.65000000000003,57,5,95,1688,0.5,0
33,limited,17,-52.98000000000003,57,4,93,1648,0.44,0
34,limited,17,-20.950000000000024,57,6,79,1616,0.57,0
35,limited,17,-45.62,57,4,91,1968,0.47,0
36,limited,17,-68.42999999999999,57,2,96,1664,0.44,0
37,limited,17,-54.38000000000003,57,3,92,1880,0.47,0
38,limited,17,-35.750000000000036,57,4,91,1800,0.52,0
39,limited,17,-39.56000000000002,57,5,92,1696,0.46,0
40,limited,17,-81.82,57,2,105,1448,0.33,0
41,limited,17,-47.450000000000024,57,4,90,1656,0.48,0
42,limited,17,-63.87,57,3,86,1520,0.47,0
43,limited,17,-100.87999999999991,57,1,90,1848,0.38,0
44,limited,17,-24.89000000000001,57,6,84,1928,0.53,0
45,limited,17,-86.93999999999991,57,2,72,1792,0.51,0
46,limited,17,-78.70999999999995,57,2,91,1696,0.43,0
47,limited,17,-96.93999999999997,57,1,92,1408,0.38,0
48,limited,17,-68.37999999999995,57,4,75,1680,0.47,0
49,limited,17,-85.4699999999999,57,2,98,1440,0.35,0
50,limited,17,-44.730000000000004,57,4,93,1968,0.48,0
51,limited,17,-30.35000000000001,57,6,97,1912,0.42,0
52,limited,17,-59.64,57,4,92,1696,0.41,0
53,limited,17,-63.94999999999997,57,3,94,1272,0.42,0
54,limited,17,-69.23999999999995,57,3,77,1504,0.51,0
55,limited,17,-15.370000000000015,57,6,89,1904,0.55,0
56,limited,17,-36.26000000000002,57,5,95,2008,0.45,0
57,limited,17,-6.270000000000036,52,7,75,1800,0.5,1
58,limited,17,-21.250000000000007,57,4,98,1464,0.54,0
59,limited,17,-92.19999999999989,57,2,91,1176,0.36,0
60,limited,17,-60.969999999999956,57,3,84,1432,0.5,0
61,limited,17,-66.92999999999998,57,3,85,1400,0.46,0
62,limited,17,-77.97,57,4,74,1472,0.44,0
63,limited,17,-63.10000000000002,57,3,92,1880,0.44,0
64,limited,17,-88.95999999999991,57,2,80,1376,0.45,0
65,limited,17,-52.96999999999999,57,3,101,1976,0.44,0
66,limited,17,-29.180000000000007,57,5,90,1464,0.52,0
67,limited,17,-17.38000000000004,57,6,96,1576,0.49,0
68,limited,17,-39.02000000000002,57,3,100,1584,0.49,0
69,limited,17,-59.99000000000004,57,3,94,1792,0.46,0
70,limited,17,-63.28999999999998,57,3,92,1904,0.44,0
71,limited,17,-20.300000000000008,57,6,85,1608,0.54,0
72,limited,17,-63.91,57,3,87,1632,0.46,0
73,limited,17,-51.530000000000015,57,4,96,1840,0.44,0
74,limited,17,-85.19999999999993,57,1,91,1240,0.43,0
75,limited,17,-41.36000000000001,57,4,91,1704,0.5,0
76,limited,17,-53.32,57,5,99,1648,0.37,0
77,limited,17,-55.18999999999999,57,3,80,2120,0.56,0
78,limited,17,-60.15000000000002,57,2,103,1592,0.44,0
79,limited,17,-93.96999999999987,57,2,73,1672,0.46,0
80,limited,17,-29.470000000000013,57,4,84,1704,0.59,0
81,limited,17,-42.910000000000004,57,4,96,1928,0.47,0
82,limited,17,-74.12999999999991,57,4,83,1544,0.4,0
83,limited,17,-45.669999999999995,57,4,110,1592,0.36,0
84,limited,17,-67.69999999999999,57,2,84,1920,0.51,0
85,limited,17,-94.06000000000002,57,1,103,1008,0.36,0
86,limited,17,-76.24999999999997,57,3,89,1536,0.41,0
87,limited,17,-55.70000000000001,57,4,103,1424,0.37,0
88,limited,17,-80.22999999999992,57,3,102,1320,0.3,0
89,limited,17,-55.34999999999993,57,5,70,1648,0.52,0
90,limited,17,-42.98,57,2,80,1848,0.66,0
91,limited,17,-86.36999999999992,57,1,96,1528,0.4,0
92,limited,17,-81.40999999999997,57,2,86,1648,0.43,0
93,limited,17,-35.74,57,5,96,1584,0.46,0
94,limited,17,-46.31000000000001,57,4,103,1488,0.41,0
95,limited,17,-43.800000000000026,57,3,90,1920,0.54,0
96,limited,17,-46.86999999999999,57,5,84,1512,0.48,0
97,limited,17,-62.24999999999997,57,4,85,1248,0.45,0
98,limited,17,-86.99999999999993,57,3,64,1648,0.51,0
99,limited,17,-62.25999999999997,57,2,86,1416,0.52,0
100,limited,17,-57.419999999999995,57,4,82,1544,0.49,0
101,limited,17,-55.15999999999997,57,3,82,1496,0.54,0
102,limited,17,-16.770000000000014,57,5,106,1752,0.45,0
103,limited,17,-53.03999999999998,57,3,84,1784,0.54,0
104,limited,17,-45.05999999999999,57,5,77,2160,0.52,0
105,limited,17,-36.399999999999984,57,4,73,1672,0.63,0
106,limited,17,-87.44999999999993,57,3,91,1152,0.34,0
107,limited,17,-33.79000000000002,57,4,101,1872,0.48,0
108,limited,17,-85.34999999999988,57,2,98,1448,0.35,0
109,limited,17,-43.709999999999965,57,3,93,1632,0.52,0
110,limited,17,-75.33999999999996,57,3,93,1512,0.39,0
111,limited,17,-57.160000000000004,57,3,97,1576,0.45,0
112,limited,17,-96.4499999999999,57,2,88,1424,0.36,0
113,limited,17,-41.280000000000015,57,4,92,1224,0.49,0
114,limited,17,-51.25999999999999,57,3,77,2000,0.58,0
115,limited,17,-70.16,57,2,97,1352,0.43,0
116,limited,17,-83.98999999999995,57,2,110,1792,0.3,0
117,limited,17,-36.62000000000002,57,4,96,2080,0.49,0
118,limited,17,-34.40000000000002,57,4,86,1808,0.57,0
119,limited,17,-47.470000000000006,57,4,84,1880,0.52,0
120,limited,17,-13.730000000000025,57,5,99,1800,0.53,0
121,limited,17,-68.42000000000004,57,2,99,1672,0.43,0
122,limited,17,-40.95000000000001,57,3,69,1680,0.66,0
123,limited,17,-36.95000000000002,57,4,97,1744,0.48,0
124,limited,17,-65.28999999999994,57,3,65,1864,0.59,0
125,limited,17,-23.570000000000014,57,6,94,1784,0.45,0
126,limited,17,-51.30000000000002,57,3,95,1880,0.47,0
127,limited,17,-71.90999999999998,57,3,92,1824,0.41,0
128,limited,17,-51.970000000000006,57,3,87,1952,0.52,0
129,limited,17,-53.100000000000016,57,3,102,1760,0.43,0
130,limited,17,-73.84999999999997,57,3,84,1536,0.44,0
131,limited,17,-49.469999999999985,57,5,90,1504,0.43,0
132,limited,17,-41.82000000000004,57,4,96,1672,0.48,0
133,limited,17,-80.09999999999991,57,2,88,1632,0.44,0
134,limited,17,-52.31000000000001,57,4,97,2112,0.41,0
135,limited,17,-34.890000000000015,57,4,85,2208,0.58,0
136,limited,17,-83.35999999999996,57,3,89,1680,0.37,0
137,limited,17,-34.52000000000004,57,4,94,1736,0.51,0
138,limited,17,-39.90000000000001,57,5,78,2136,0.55,0
139,limited,17,-56.790000000000035,57,3,93,1736,0.46,0
140,limited,17,-129.18999999999994,57,0,84,1280,0.35,0
141,limited,17,-102.09999999999988,57,3,76,1912,0.37,0
142,limited,17,-56.68000000000002,57,3,92,1392,0.46,0
143,limited,17,-36.55000000000001,57,5,90,1608,0.49,0
144,limited,17,-23.940000000000015,57,5,90,1704,0.55,0
145,limited,17,-24.55,57,6,103,1488,0.42,0
146,limited,17,-62.81999999999998,57,4,93,1768,0.4,0
147,limited,17,-81.28999999999995,57,4,77,1416,0.41,0
148,limited,17,-38.64000000000002,57,5,94,1600,0.46,0
149,limited,17,-17.410000000000025,57,6,72,1840,0.62,0
150,limited,17,-61.290000000000006,57,4,82,1608,0.46,0
151,limited,17,-59.33000000000001,57,4,78,2048,0.51,0
152,limited,17,-25.010000000000016,57,5,71,1776,0.64,0
153,limited,17,-31.650000000000016,57,6,82,1824,0.5,0
154,limited,17,-40.770000000000046,57,5,91,1592,0.46,0
155,limited,17,-37.49000000000002,57,5,85,1968,0.52,0
156,limited,17,-58.58999999999999,57,3,92,2384,0.46,0
157,limited,17,-53.22000000000001,57,5,84,1856,0.45,0
158,limited,17,-46.28,57,3,88,1840,0.54,0
159,limited,17,-27.66000000000004,57,6,80,1464,0.53,0
160,limited,17,-16.490000000000013,57,6,86,1760,0.55,0
161,limited,17,-54.040000000000006,57,2,89,1904,0.53,0
162,limited,17,-46.03000000000003,57,4,103,1888,0.41,0
163,limited,17,-67.41999999999994,57,3,83,2168,0.48,0
164,limited,17,-79.21999999999994,57,4,91,1720,0.34,0
165,limited,17,-60.03999999999997,57,4,82,2008,0.48,0
166,limited,17,-73.03000000000002,57,3,89,1584,0.41,0
167,limited,17,-82.26999999999997,57,2,91,1176,0.41,0
168,limited,17,-64.50999999999999,57,2,93,1712,0.46,0
169,limited,17,-26.630000000000038,57,5,93,1920,0.51,0
170,limited,17,-47.9,57,3,101,2240,0.47,0
171,limited,17,-89.83999999999985,57,1,113,1496,0.28,0
172,limited,17,-71.69999999999996,57,4,98,1664,0.33,0
173,limited,17,-56.62000000000001,57,3,91,1680,0.47,0
174,limited,17,-55.49,57,4,92,1800,0.43,0
175,limited,17,17.62999999999998,40,7,54,1320,0.44,1
176,limited,17,-75.83999999999996,57,3,79,1208,0.46,0
177,limited,17,-89.56999999999992,57,3,78,1912,0.4,0
178,limited,17,-34.820000000000036,57,5,101,1864,0.43,0
179,limited,17,-72.48,57,3,84,1736,0.45,0
180,limited,17,-81.25999999999998,57,1,104,1696,0.39,0
181,limited,17,-30.220000000000024,57,4,79,1968,0.63,0
182,limited,17,-100.57,57,1,78,1392,0.45,0
183,limited,17,-62.899999999999984,57,3,83,1688,0.5,0
184,limited,17,-68.42999999999999,57,1,82,1472,0.57,0
185,limited,17,-64.95999999999995,57,4,72,1776,0.51,0
186,limited,17,-35.14999999999996,57,5,85,1744,0.53,0
187,limited,17,-50.2,57,5,90,1760,0.43,0
188,limited,17,-23.57000000000002,57,5,92,1624,0.53,0
189,limited,17,-35.77000000000001,57,5,90,1872,0.49,0
190,limited,17,-87.7299999999999,57,2,85,1592,0.42,0
191,limited,17,-59.24999999999998,57,2,90,1616,0.52,0
192,limited,17,-27.290000000000028,57,5,81,1736,0.58,0
193,limited,17,-57.03999999999993,57,4,86,1880,0.46,0
194,limited,17,-22.530000000000022,57,5,89,2048,0.55,0
195,limited,17,-66.34,57,2,84,1672,0.51,0
196,limited,17,-73.07999999999998,57,2,93,1992,0.45,0
197,limited,17,-105.03999999999988,57,2,97,1240,0.27,0
198,limited,17,-43.92000000000003,57,4,95,1912,0.46,0
199,limited,17,-24.880000000000024,57,6,94,1912,0.48,0
200,limited,17,-41.529999999999994,57,3,99,1528,0.49,0
201,limited,17,-34.80000000000002,57,6,73,1680,0.55,0
202,limited,17,-55.04000000000002,57,4,93,1488,0.42,0
203,limited,17,-103.82999999999988,57,3,68,1312,0.4,0
204,limited,17,-34.54000000000002,57,4,86,1736,0.57,0
205,limited,17,-53.28000000000002,57,4,97,1728,0.42,0
206,limited,17,-75.64000000000001,57,3,67,1008,0.56,0
207,limited,17,-80.65999999999997,57,3,94,1712,0.35,0
208,limited,17,-58.989999999999995,57,3,88,2024,0.5,0
209,limited,17,-17.92,57,5,90,1624,0.56,0
210,limited,17,-100.33999999999993,57,1,95,1768,0.36,0
211,limited,17,-50.03000000000003,57,3,88,1480,0.53,0
212,limited,17,-77.41999999999997,57,3,96,1408,0.36,0
213,limited,17,-26.22000000000002,57,4,97,1704,0.52,0
214,limited,17,-72.48999999999995,57,2,74,1736,0.56,0
215,limited,17,-62.24999999999998,57,4,90,1512,0.4,0
216,limited,17,-69.12,57,2,107,1504,0.37,0
217,limited,17,-72.52999999999999,57,3,83,1760,0.46,0
218,limited,17,-65.86999999999998,57,2,90,1616,0.48,0
219,limited,17,-96.16999999999994,57,1,87,1392,0.42,0
220,limited,17,-26.72000000000002,57,6,92,1840,0.48,0
221,limited,17,-76.85999999999991,57,3,84,2008,0.42,0
222,limited,17,-104.95999999999994,57,1,87,936,0.41,0
223,limited,17,-55.530000000000015,57,4,92,1896,0.43,0
224,limited,17,-10.620000000000028,57,5,99,1832,0.53,0
225,limited,17,-89.89999999999996,57,3,77,1280,0.42,0
226,limited,17,-76.58999999999997,57,2,82,1736,0.49,0
227,limited,17,-37.800000000000026,57,5,97,1984,0.44,0
228,limited,17,-63.720000000000006,57,1,103,2088,0.48,0
229,limited,17,-60.989999999999974,57,3,91,1864,0.46,0
230,limited,17,-67.44,57,3,91,1288,0.42,0
231,limited,17,-33.58000000000003,57,5,90,1752,0.5,0
232,limited,17,-53.74999999999997,57,4,96,1280,0.42,0
233,limited,17,-72.71999999999996,57,5,82,1584,0.37,0
234,limited,17,-18.720000000000034,57,6,90,1768,0.52,0
235,limited,17,-40.23000000000003,57,5,91,2128,0.46,0
236,limited,17,-55.56999999999998,57,3,85,1536,0.52,0
237,limited,17,-19.14000000000003,57,5,94,2336,0.54,0
238,limited,17,-68.31999999999998,57,4,87,1440,0.4,0
239,limited,17,-46.89000000000001,57,3,87,2048,0.55,0
240,limited,17,-30.680000000000025,57,6,69,1488,0.59,0
241,limited,17,-83.49999999999997,57,3,96,1568,0.33,0
242,limited,17,-38.300000000000004,57,4,93,2064,0.51,0
243,limited,17,-64.80000000000001,57,2,85,1816,0.53,0
244,limited,17,-31.110000000000028,57,5,89,1808,0.52,0
245,limited,17,-60.58999999999999,57,3,82,1992,0.51,0
246,limited,17,-52.729999999999954,57,4,73,1840,0.57,0
247,limited,17,-55.93,57,5,92,1656,0.39,0
248,limited,17,-28.99000000000003,57,5,80,1232,0.58,0
249,limited,17,-41.08999999999996,57,4,98,2064,0.46,0
250,limited,17,-39.04000000000004,57,4,95,1624,0.49,0
251,limited,17,-77.15999999999995,57,3,95,1720,0.36,0
252,limited,17,-32.55000000000002,57,4,88,2112,0.56,0
253,limited,17,-45.26,57,5,87,1720,0.45,0
254,limited,17,-70.84999999999997,57,2,97,2448,0.42,0
255,limited,17,-39.179999999999986,57,6,78,1568,0.5,0
256,limited,17,-113.36999999999988,57,2,88,1240,0.28,0
257,limited,17,-60.85000000000001,57,1,100,1640,0.49,0
258,limited,17,-40.050000000000004,57,5,80,1856,0.53,0
259,limited,17,-32.42999999999994,57,4,80,1776,0.61,0
260,limited,17,-95.0,57,1,97,1808,0.36,0
261,limited,17,-22.600000000000033,57,6,90,1656,0.5,0
262,limited,17,-40.58000000000001,57,6,86,1552,0.44,0
263,limited,17,-72.46,57,3,113,1920,0.27,0
264,limited,17,-35.22000000000001,57,4,90,2104,0.51,0
265,limited,17,-86.18999999999988,57,2,95,1896,0.38,0
266,limited,17,-17.43000000000001,57,5,80,2176,0.63,0
267,limited,17,-28.27000000000001,57,4,90,2416,0.57,0
268,limited,17,-34.86000000000003,57,6,85,2352,0.48,0
269,limited,17,-10.820000000000004,57,6,90,2088,0.55,0
270,limited,17,4.479999999999993,52,7,83,1784,0.5,1
271,limited,17,-73.74999999999991,57,2,99,1536,0.39,0
272,limited,17,-67.14,57,4,93,1736,0.39,0
273,limited,17,-20.03000000000003,57,6,90,1664,0.5,0
274,limited,17,-96.43999999999991,57,1,98,1248,0.34,0
275,limited,17,-70.03999999999995,57,4,91,1488,0.37,0
276,limited,17,-81.48999999999991,57,1,96,2344,0.44,0
277,limited,17,-2.6500000000000044,57,6,86,1736,0.61,0
278,limited,17,-45.13000000000002,57,5,75,2128,0.53,0
279,limited,17,-80.17999999999998,57,1,99,1200,0.41,0
280,limited,17,-91.43999999999987,57,3,92,1784,0.31,0
281,limited,17,-59.139999999999986,57,2,85,2360,0.55,0
282,limited,17,-36.49000000000001,57,5,88,1880,0.5,0
283,limited,17,-44.28000000000001,57,5,91,1488,0.45,0
284,limited,17,-95.17999999999991,57,3,86,1352,0.33,0
285,limited,17,-32.22000000000003,57,6,85,1496,0.48,0
286,limited,17,-27.97000000000004,57,4,93,1936,0.55,0
287,limited,17,-56.34000000000003,57,5,81,2128,0.46,0
288,limited,17,-78.65999999999997,57,4,89,1392,0.34,0
289,limited,17,-111.12999999999981,57,2,86,1304,0.3,0
290,limited,17,-20.120000000000008,57,6,81,1768,0.56,0
291,limited,17,-40.57000000000003,57,4,94,1296,0.48,0
292,limited,17,-60.189999999999976,57,3,87,1680,0.49,0
293,limited,17,-12.290000000000026,57,6,102,1704,0.47,0
294,limited,17,-63.500000000000014,57,3,96,1728,0.4,0
295,limited,17,-38.60000000000003,57,4,101,2216,0.46,0
296,limited,17,-19.620000000000033,57,5,95,1896,0.54,0
297,limited,17,-5.810000000000019,57,6,80,2104,0.63,0
298,limited,17,-97.26999999999994,57,2,91,1104,0.34,0
299,limited,17,-42.92999999999999,57,4,74,2104,0.59,0
300,limited,17,-75.26999999999998,57,4,98,1440,0.31,0
301,limited,17,-26.960000000000036,57,5,80,1752,0.58,0
302,limited,17,-110.80999999999985,57,0,82,1880,0.42,0
303,limited,17,-92.42999999999994,57,1,96,1344,0.37,0
304,limited,17,-1.8000000000000211,57,6,95,1784,0.55,0
305,limited,17,-37.720000000000034,57,4,98,1712,0.48,0
306,limited,17,-29.130000000000027,57,6,83,1744,0.52,0
307,limited,17,-20.180000000000028,57,5,85,1736,0.58,0
308,limited,17,-70.64999999999995,57,4,94,1480,0.36,0
309,limited,17,7.739999999999998,52,7,74,1720,0.57,1
310,limited,17,-55.020000000000024,57,4,101,1624,0.38,0
311,limited,17,-38.71000000000004,57,4,86,1768,0.55,0
312,limited,17,-96.59999999999991,57,1,89,1192,0.4,0
313,limited,17,-61.2,57,3,92,1864,0.46,0
314,limited,17,-62.33999999999996,57,3,94,1384,0.44,0
315,limited,17,-49.790000000000006,57,4,92,2200,0.45,0
316,limited,17,-49.53,57,3,101,1512,0.44,0
317,limited,17,-51.42000000000001,57,4,98,1880,0.42,0
318,limited,17,-87.52999999999992,57,2,90,1568,0.4,0
319,limited,17,-51.750000000000014,57,4,84,1744,0.5,0
320,limited,17,-61.79999999999999,57,3,107,1296,0.36,0
321,limited,17,-52.200000000000024,57,4,96,1552,0.43,0
322,limited,17,-56.76999999999998,57,4,85,1832,0.47,0
323,limited,17,-117.66999999999987,57,1,94,1320,0.27,0
324,limited,17,-60.12000000000002,57,5,91,1824,0.39,0
325,limited,17,-73.93,57,2,86,1424,0.48,0
326,limited,17,-55.680000000000035,57,2,105,1744,0.44,0
327,limited,17,-25.220000000000006,57,5,85,1592,0.56,0
328,limited,17,-80.87999999999997,57,2,77,1800,0.51,0
329,limited,17,-74.12999999999997,57,3,73,1912,0.51,0
330,limited,17,-100.58999999999988,57,2,98,1168,0.27,0
331,limited,17,-47.86000000000002,57,4,100,1648,0.42,0
332,limited,17,-23.64000000000002,57,5,83,2168,0.58,0
333,limited,17,-60.360000000000035,57,4,99,1120,0.4,0
334,limited,17,-58.770000000000024,57,2,96,1560,0.48,0
335,limited,17,-60.69000000000001,57,3,92,1488,0.46,0
336,limited,17,-22.820000000000007,57,5,107,1464,0.46,0
337,limited,17,-74.59999999999998,57,3,105,1728,0.32,0
338,limited,17,-83.18999999999994,57,3,86,1856,0.38,0
339,limited,17,-64.79000000000002,57,2,110,1528,0.37,0
340,limited,17,-33.670000000000016,57,4,103,1488,0.46,0
341,limited,17,-8.149999999999979,57,6,85,1680,0.59,0
342,limited,17,-37.92000000000003,57,4,91,1536,0.51,0
343,limited,17,-49.69000000000002,57,3,103,1376,0.42,0
344,limited,17,-56.87999999999996,57,3,96,1664,0.44,0
345,limited,17,-32.76000000000002,57,5,75,1616,0.59,0
346,limited,17,-67.14999999999998,57,3,102,1464,0.36,0
347,limited,17,-59.98000000000001,57,3,87,1936,0.5,0
348,limited,17,-57.28000000000001,57,3,90,1944,0.49,0
349,limited,17,-83.22,57,2,81,1360,0.48,0
350,limited,17,-66.37999999999998,57,4,90,1400,0.4,0
351,limited,17,-37.429999999999986,57,5,75,1744,0.57,0
352,limited,17,-26.810000000000016,57,5,85,1376,0.55,0
353,limited,17,-80.07999999999996,57,4,87,1272,0.35,0
354,limited,17,-36.19000000000002,57,5,82,2056,0.53,0
355,limited,17,-102.18999999999986,57,2,86,2016,0.35,0
356,limited,17,-66.70000000000005,57,2,114,1808,0.33,0
357,limited,17,-43.74,57,5,80,1728,0.52,0
358,limited,17,-67.28999999999999,57,3,93,1736,0.42,0
359,limited,17,-15.150000000000027,57,6,84,1752,0.58,0
360,limited,17,-45.33999999999998,57,3,85,1832,0.56,0
361,limited,17,-63.90000000000003,57,2,99,1672,0.44,0
362,limited,17,-45.46999999999998,57,5,93,1688,0.41,0
363,limited,17,-46.550000000000026,57,4,88,1808,0.5,0
364,limited,17,-27.960000000000043,57,5,99,2048,0.47,0
365,limited,17,-59.54000000000003,57,4,96,1312,0.39,0
366,limited,17,-75.09999999999994,57,2,96,1280,0.42,0
367,limited,17,-68.41999999999996,57,2,97,1512,0.44,0
368,limited,17,-36.48000000000003,57,4,91,1696,0.53,0
369,limited,17,-74.46,57,3,78,1296,0.48,0
370,limited,17,-52.629999999999995,57,3,101,1720,0.43,0
371,limited,17,-48.43000000000002,57,3,93,1496,0.51,0
372,limited,17,-72.03999999999998,57,3,105,1560,0.31,0
373,limited,17,-87.1899999999999,57,1,119,1608,0.28,0
374,limited,17,-14.950000000000015,57,5,87,1992,0.6,0
375,limited,17,-82.78999999999994,57,2,106,1440,0.31,0
