episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
105,limited,5,-44.73000000000001,57,4,97,1672,0.45,0
106,limited,5,-120.84999999999994,57,1,62,1824,0.46,0
107,limited,5,-70.17999999999998,57,2,90,1176,0.49,0
108,limited,5,-56.699999999999996,57,4,101,1752,0.37,0
109,limited,5,-40.81,57,4,87,1416,0.52,0
110,limited,5,-93.16999999999993,57,2,77,1688,0.44,0
111,limited,5,20.709999999999972,41,7,66,1208,0.4,1
112,limited,5,-45.46,57,3,92,1632,0.52,0
113,limited,5,-99.04999999999994,57,2,76,1264,0.43,0
114,limited,5,-72.04999999999998,57,2,96,1752,0.42,0
115,limited,5,-60.18000000000001,57,2,88,1568,0.52,0
116,limited,5,-35.92,57,4,87,1536,0.54,0
117,limited,5,-79.28999999999994,57,2,97,1120,0.4,0
118,limited,5,-56.64,57,5,93,1568,0.37,0
119,limited,5,-62.29999999999997,57,4,88,1568,0.43,0
120,limited,5,-80.42999999999999,57,3,74,1128,0.48,0
121,limited,5,7.469999999999987,57,6,89,1960,0.64,0
122,limited,5,-71.62999999999991,57,3,78,1848,0.5,0
123,limited,5,-22.110000000000017,57,6,85,1592,0.54,0
124,limited,5,-69.62999999999995,57,5,59,1224,0.53,0
125,limited,5,-15.999999999999982,57,5,104,1400,0.49,0
126,limited,5,-23.800000000000033,57,4,111,1496,0.45,0
127,limited,5,-59.409999999999975,57,3,83,1296,0.5,0
128,limited,5,-63.47999999999998,57,3,91,1720,0.45,0
129,limited,5,-61.59000000000001,57,3,85,1304,0.48,0
130,limited,5,-54.83,57,4,99,1232,0.41,0
131,limited,5,-73.04999999999995,57,3,92,1168,0.39,0
132,limited,5,-42.72,57,5,81,1544,0.52,0
133,limited,5,-67.71999999999998,57,3,83,1736,0.46,0
134,limited,5,-69.00000000000001,57,2,88,2008,0.49,0
135,limited,5,-8.699999999999996,57,5,98,1648,0.55,0
136,limited,5,-12.480000000000013,57,5,80,1856,0.65,0
137,limited,5,-38.00000000000002,57,5,82,1728,0.53,0
138,limited,5,-46.20000000000002,57,4,97,1744,0.45,0
139,limited,5,-39.93000000000005,57,4,90,1680,0.51,0
140,limited,5,-75.05999999999996,57,2,84,1496,0.48,0
141,limited,5,-15.780000000000019,57,5,103,1456,0.5,0
142,limited,5,-44.09999999999999,57,4,86,1384,0.52,0
143,limited,5,-66.39,57,3,92,1784,0.43,0
144,limited,5,-55.33000000000001,57,3,104,1624,0.41,0
145,limited,5,-50.690000000000005,57,3,96,1296,0.46,0
146,limited,5,-106.14999999999986,57,3,87,1336,0.28,0
147,limited,5,-33.80000000000003,57,5,111,1944,0.38,0
148,limited,5,-48.030000000000015,57,3,100,1888,0.45,0
149,limited,5,-82.15999999999988,57,3,80,1264,0.42,0
150,limited,5,-40.59000000000001,57,4,96,1416,0.46,0
151,limited,5,-64.87999999999998,57,3,93,1528,0.43,0
152,limited,5,-2.010000000000012,57,6,91,1816,0.58,0
153,limited,5,-15.330000000000032,55,7,77,1336,0.53,1
154,limited,5,-72.70999999999997,57,2,88,1512,0.46,0
155,limited,5,-30.66000000000003,57,6,81,1784,0.51,0
156,limited,5,-65.36999999999999,57,2,105,1464,0.39,0
157,limited,5,-77.98999999999998,57,3,74,1760,0.49,0
158,limited,5,-73.67999999999998,57,3,85,1208,0.43,0
159,limited,5,-70.90999999999998,57,3,85,1544,0.44,0
160,limited,5,-25.020000000000028,57,4,89,1712,0.59,0
161,limited,5,-45.15000000000003,57,4,96,1512,0.46,0
162,limited,5,-20.34000000000002,57,5,97,1560,0.51,0
163,limited,5,-78.6999999999999,57,3,85,1896,0.41,0
164,limited,5,-37.52000000000002,57,5,95,1480,0.44,0
165,limited,5,-102.62999999999994,57,2,89,896,0.36,0
166,limited,5,-46.62,57,3,90,1792,0.52,0
167,limited,5,-72.24999999999997,57,3,94,1760,0.4,0
168,limited,5,-40.85000000000002,57,4,97,1864,0.48,0
169,limited,5,1.32999999999999,57,6,92,1632,0.59,0
170,limited,5,-50.47000000000003,57,4,97,1840,0.42,0
171,limited,5,-75.13999999999999,57,3,87,1416,0.42,0
172,limited,5,-35.52000000000002,57,5,81,1648,0.54,0
173,limited,5,-62.48999999999998,57,3,92,2256,0.44,0
174,limited,5,-44.73999999999999,57,4,80,1848,0.53,0
175,limited,5,-64.52,57,4,101,1328,0.34,0
176,limited,5,-78.61999999999992,57,2,95,1616,0.41,0
177,limited,5,-93.90999999999995,57,2,101,1088,0.31,0
178,limited,5,-52.269999999999996,57,2,98,1496,0.5,0
179,limited,5,-32.82000000000002,57,5,90,1544,0.5,0
180,limited,5,-54.65000000000002,57,4,89,1320,0.45,0
181,limited,5,-67.12999999999998,57,4,90,1632,0.39,0
182,limited,5,-50.889999999999944,57,4,92,1376,0.45,0
183,limited,5,-54.799999999999955,57,4,89,1720,0.45,0
184,limited,5,-75.79999999999991,57,3,95,1712,0.37,0
185,limited,5,-117.3999999999998,57,2,92,1072,0.24,0
186,limited,5,-21.799999999999965,57,6,96,1312,0.47,0
187,limited,5,-49.37999999999999,57,3,84,1936,0.55,0
188,limited,5,-56.88000000000001,57,4,98,1440,0.39,0
189,limited,5,-51.64000000000003,57,4,99,1224,0.41,0
190,limited,5,-72.68999999999997,57,3,100,1728,0.36,0
191,limited,5,-82.53999999999994,57,3,78,1528,0.43,0
192,limited,5,-64.55999999999999,57,2,96,1200,0.47,0
193,limited,5,-87.16999999999994,57,2,95,1224,0.38,0
194,limited,5,-18.349999999999973,57,5,79,1360,0.62,0
195,limited,5,-54.03,57,4,92,1536,0.44,0
196,limited,5,-71.83999999999996,57,2,77,1512,0.54,0
197,limited,5,-7.830000000000026,57,6,82,1584,0.6,0
198,limited,5,-84.60999999999994,57,3,98,1648,0.31,0
199,limited,5,-56.020000000000046,57,4,99,1144,0.41,0
200,limited,5,-19.920000000000027,57,5,106,1800,0.45,0
201,limited,5,-99.41999999999996,57,2,84,1592,0.37,0
202,limited,5,-50.210000000000015,57,3,110,1112,0.42,0
203,limited,5,-72.68999999999996,57,3,90,1656,0.42,0
204,limited,5,-48.109999999999985,57,3,86,1832,0.55,0
205,limited,5,-50.219999999999985,57,4,87,1896,0.48,0
206,limited,5,-59.209999999999994,57,3,95,1256,0.44,0
207,limited,5,-44.38999999999996,57,5,75,1576,0.53,0
208,limited,5,-48.65000000000002,57,4,78,1256,0.55,0
209,limited,5,-37.75000000000002,57,5,79,1928,0.56,0
210,limited,5,-42.74,57,5,95,1640,0.42,0
211,limited,5,-40.620000000000005,57,4,90,1544,0.51,0
212,limited,5,-18.880000000000024,57,4,91,2112,0.6,0
213,limited,5,-29.47000000000002,57,5,97,1680,0.47,0
214,limited,5,-85.45999999999992,57,1,105,1680,0.35,0
215,limited,5,-26.42000000000004,57,5,88,1528,0.53,0
216,limited,5,42.70999999999999,34,7,35,968,0.52,1
217,limited,5,-43.13000000000002,57,4,96,1800,0.46,0
218,limited,5,-42.23000000000001,57,4,90,1416,0.5,0
219,limited,5,-27.99000000000002,57,5,86,1672,0.55,0
220,limited,5,-105.92999999999986,57,3,80,1184,0.32,0
221,limited,5,-46.69,57,4,85,2032,0.51,0
222,limited,5,-34.07,57,4,89,1440,0.53,0
223,limited,5,-37.03000000000002,57,3,110,1680,0.45,0
224,limited,5,-8.440000000000007,57,5,95,1688,0.56,0
225,limited,5,-50.60000000000003,57,3,88,1656,0.53,0
226,limited,5,-25.45000000000001,57,4,90,1840,0.56,0
227,limited,5,-50.470000000000034,57,3,97,1280,0.49,0
228,limited,5,-54.13,57,4,86,1464,0.47,0
229,limited,5,-80.4899999999999,57,3,93,1512,0.36,0
230,limited,5,-37.95999999999999,57,3,88,1824,0.56,0
231,limited,5,-15.640000000000022,57,6,82,1560,0.58,0
232,limited,5,-27.21000000000003,57,6,91,1776,0.47,0
233,limited,5,-55.929999999999986,57,4,83,1304,0.47,0
234,limited,5,-38.55999999999999,57,5,72,1536,0.58,0
235,limited,5,-83.85999999999993,57,4,73,1152,0.42,0
236,limited,5,-46.890000000000036,57,3,98,1432,0.47,0
237,limited,5,-11.29000000000001,57,6,93,1328,0.54,0
238,limited,5,-19.58000000000001,57,4,83,1776,0.65,0
239,limited,5,-59.629999999999995,57,4,92,1392,0.41,0
240,limited,5,-56.10000000000002,57,3,99,1552,0.42,0
241,limited,5,-19.860000000000017,57,6,85,1376,0.53,0
242,limited,5,-47.49000000000001,57,3,96,1736,0.49,0
243,limited,5,-76.9699999999999,57,3,94,1240,0.37,0
244,limited,5,-27.960000000000008,57,5,91,1648,0.51,0
245,limited,5,-50.219999999999985,57,2,90,1488,0.54,0
246,limited,5,-39.69000000000001,57,5,78,1336,0.53,0
247,limited,5,-45.97999999999998,57,5,85,1648,0.47,0
248,limited,5,-74.10000000000002,57,1,76,1576,0.58,0
