episode,agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success
107,independent,17,-31.57,57,5,88,0,0.53,0
108,independent,17,-105.5299999999999,57,1,85,0,0.42,0
109,independent,17,-54.47000000000002,57,4,86,0,0.5,0
110,independent,17,-52.699999999999996,57,5,97,0,0.38,0
111,independent,17,-72.89999999999996,57,3,88,0,0.43,0
112,independent,17,-79.97999999999993,57,3,90,0,0.39,0
113,independent,17,-106.41999999999986,57,1,96,0,0.34,0
114,independent,17,-75.67,57,2,95,0,0.42,0
115,independent,17,-46.98999999999999,57,4,72,0,0.6,0
116,independent,17,-42.460000000000015,57,5,84,0,0.51,0
117,independent,17,-51.04000000000001,57,4,90,0,0.47,0
118,independent,17,-67.07,57,4,105,0,0.31,0
119,independent,17,-85.03999999999994,57,3,84,0,0.4,0
120,independent,17,-44.28,57,4,100,0,0.43,0
121,independent,17,-43.88000000000001,57,4,90,0,0.53,0
122,independent,17,-61.74,57,3,88,0,0.5,0
123,independent,17,-19.79000000000002,57,6,94,0,0.53,0
124,independent,17,-25.500000000000007,57,5,94,0,0.53,0
125,independent,17,-52.83999999999998,57,5,78,0,0.49,0
126,independent,17,-17.060000000000024,57,4,99,0,0.57,0
127,independent,17,-81.03999999999995,57,4,80,0,0.39,0
128,independent,17,-50.67000000000002,57,3,105,0,0.42,0
129,independent,17,-36.55000000000002,57,5,95,0,0.47,0
130,independent,17,-51.41,57,5,83,0,0.47,0
131,independent,17,-48.94999999999999,57,3,83,0,0.57,0
132,independent,17,-26.210000000000033,57,4,100,0,0.52,0
133,independent,17,-98.88999999999992,57,1,100,0,0.36,0
134,independent,17,-93.09999999999995,57,1,99,0,0.36,0
135,independent,17,-49.07000000000002,57,4,78,0,0.55,0
136,independent,17,-29.60000000000002,57,4,83,0,0.62,0
137,independent,17,-43.26000000000002,57,5,100,0,0.42,0
138,independent,17,-59.629999999999974,57,2,90,0,0.55,0
139,independent,17,-41.70000000000002,57,4,80,0,0.57,0
140,independent,17,-42.49,57,4,83,0,0.56,0
