agent_type,seed,reward,steps,victims,duplicates,bytes,coverage,success_rate
independent,97,56.496036,37.5526,6.751,48.2006,0.0,0.6027100000000001,0.802
independent,17,58.086535999999995,35.9914,6.7894,44.0892,0.0,0.5972360000000001,0.837
selective,5,64.70350599999999,32.2912,6.8934,34.0054,542.6448,0.5968220000000001,0.9154
selective,17,62.716586,32.5246,6.8708,34.331,543.08,0.5918180000000001,0.9076
independent,5,58.912402,35.6014,6.8068,43.5696,0.0,0.59208,0.8476
selective,97,60.351383999999996,34.9392,6.8294,39.989,584.3392,0.606834,0.8622
limited,5,65.74665999999999,32.1624,6.883,32.2802,828.3088,0.607274,0.9118
limited,97,64.58019399999999,33.8718,6.8712,35.5446,873.0864,0.62278,0.8956
full,97,69.18701999999998,32.937,6.8728,33.7716,1871.2064,0.63189,0.8994
limited,17,64.49228799999996,34.4358,6.84,36.8538,976.5632,0.6265940000000001,0.875
full,17,68.16604199999998,34.211,6.853,36.0306,3335.08,0.646468,0.8864
full,5,70.59708799999997,33.365,6.895,33.5114,3184.3872,0.64907,0.9106
